28 sept. 2020 à 11:58:04
RngSeed: 1601287081307
BirthTreshold: 20
GrassEnergy: 5.0
GrassGrowthRate: 50
GridSize: 20
NumInitGrass: 100
NumInitRabbits: 30

"tick", "Number of grass tile", "Number of rabbits"
515.0, 16.0, 299.0
516.0, 18.0, 302.0
517.0, 24.0, 301.0
518.0, 21.0, 303.0
519.0, 16.0, 308.0
520.0, 16.0, 308.0
520.0, 15.0, 315.0
521.0, 18.0, 314.0
522.0, 18.0, 309.0
523.0, 17.0, 309.0
524.0, 16.0, 304.0
525.0, 14.0, 304.0
525.0, 14.0, 304.0
526.0, 17.0, 302.0
527.0, 13.0, 300.0
528.0, 16.0, 303.0
529.0, 17.0, 303.0
530.0, 17.0, 303.0
530.0, 18.0, 299.0
531.0, 24.0, 296.0
532.0, 22.0, 293.0
533.0, 24.0, 298.0
534.0, 22.0, 294.0
535.0, 20.0, 294.0
535.0, 20.0, 294.0
536.0, 19.0, 296.0
537.0, 22.0, 298.0
538.0, 17.0, 291.0
539.0, 22.0, 293.0
540.0, 22.0, 293.0
540.0, 19.0, 293.0
541.0, 28.0, 289.0
542.0, 23.0, 292.0
543.0, 20.0, 298.0
544.0, 19.0, 298.0
545.0, 19.0, 298.0
545.0, 10.0, 299.0
546.0, 14.0, 298.0
547.0, 11.0, 301.0
548.0, 16.0, 304.0
549.0, 23.0, 302.0
550.0, 16.0, 306.0
550.0, 16.0, 306.0
551.0, 17.0, 302.0
552.0, 14.0, 304.0
553.0, 16.0, 304.0
554.0, 15.0, 305.0
555.0, 20.0, 303.0
555.0, 20.0, 303.0
556.0, 19.0, 298.0
557.0, 20.0, 297.0
558.0, 20.0, 301.0
559.0, 14.0, 303.0
560.0, 18.0, 305.0
560.0, 18.0, 305.0
561.0, 20.0, 306.0
562.0, 14.0, 304.0
563.0, 9.0, 305.0
564.0, 13.0, 297.0
565.0, 16.0, 294.0
565.0, 16.0, 294.0
566.0, 18.0, 297.0
567.0, 24.0, 295.0
568.0, 21.0, 294.0
569.0, 20.0, 292.0
570.0, 17.0, 293.0
570.0, 17.0, 293.0
571.0, 24.0, 292.0
572.0, 27.0, 297.0
573.0, 25.0, 297.0
574.0, 31.0, 297.0
575.0, 31.0, 297.0
575.0, 23.0, 291.0
576.0, 26.0, 295.0
577.0, 27.0, 298.0
578.0, 26.0, 295.0
579.0, 27.0, 290.0
580.0, 27.0, 290.0
580.0, 24.0, 289.0
581.0, 26.0, 287.0
582.0, 22.0, 284.0
583.0, 18.0, 286.0
584.0, 24.0, 293.0
585.0, 30.0, 292.0
585.0, 30.0, 292.0
586.0, 24.0, 287.0
